Fecha_datetime,Year,Month,Day,NO2_trop_mean,NO2_trop_std,WeekofYear,NO2_trop_mean_complete,NO2_trop_std_complete
2018-12-31T00:00:00Z,2018,12,31,4.041502734082664e-5,1.8164223798927088e-5,2019W01,4.041502734082664e-5,1.8164223798927088e-5
2019-01-01T00:00:00Z,2019,1,1,1.0334739640717722e-5,2.9183447972884e-6,2019W01,1.0334739640717722e-5,2.9183447972884006e-6
2019-01-02T00:00:00Z,2019,1,2,NA,NA,2019W01,2.5428730838613123e-5,4.4872731414077745e-6
2019-01-03T00:00:00Z,2019,1,3,7.96438073335481e-5,2.8433369712513564e-5,2019W01,7.964380733354809e-5,2.8433369712513558e-5
2019-01-04T00:00:00Z,2019,1,4,1.106833062883e-4,4.65921461195082e-5,2019W01,1.106833062883e-4,4.65921461195082e-5
2019-01-05T00:00:00Z,2019,1,5,4.74002231724108e-5,1.4963686110261135e-5,2019W01,4.740022317241081e-5,1.4963686110261134e-5
2019-01-06T00:00:00Z,2019,1,6,NA,NA,2019W01,6.707942322124399e-6,1.8350071419283352e-6
2019-01-07T00:00:00Z,2019,1,7,NA,NA,2019W02,9.10739270716926e-6,1.3259323060796381e-5
2019-01-08T00:00:00Z,2019,1,8,3.568381173195645e-5,3.0316808126344298e-5,2019W02,3.568381173195643e-5,3.0316808126344325e-5
2019-01-09T00:00:00Z,2019,1,9,NA,NA,2019W02,6.789257303730575e-5,3.759091750754829e-5
2019-01-10T00:00:00Z,2019,1,10,NA,NA,2019W02,8.866959520967174e-5,3.367823001137275e-5
2019-01-11T00:00:00Z,2019,1,11,8.132093307191772e-5,2.0678605354279173e-5,2019W02,8.132093307191773e-5,2.0678605354279183e-5
2019-01-12T00:00:00Z,2019,1,12,4.395305535914373e-5,1.4881714708422257e-5,2019W02,4.395305535914373e-5,1.4881714708422257e-5
2019-01-13T00:00:00Z,2019,1,13,NA,NA,2019W02,2.5511963929936498e-5,5.970480454849405e-5
2019-01-14T00:00:00Z,2019,1,14,5.629558445327792e-5,9.422825072393812e-5,2019W03,5.629558445327792e-5,9.42282507239381e-5
2019-01-15T00:00:00Z,2019,1,15,NA,NA,2019W03,1.348255686160404e-4,5.818470962323419e-5
2019-01-16T00:00:00Z,2019,1,16,1.659669622785e-4,1.244264187194856e-5,2019W03,1.659669622785e-4,1.2442641871948564e-5
2019-01-17T00:00:00Z,2019,1,17,NA,NA,2019W03,8.118426521669348e-5,2.0409972119035274e-5
2019-01-18T00:00:00Z,2019,1,18,1.199639869629688e-5,3.451667686991255e-5,2019W03,1.1996398696296882e-5,3.451667686991255e-5
2019-01-19T00:00:00Z,2019,1,19,4.9244588754513734e-5,1.5466227329071966e-5,2019W03,4.9244588754513734e-5,1.5466227329071966e-5
2019-01-20T00:00:00Z,2019,1,20,3.370632476222439e-5,2.890590597429285e-5,2019W03,3.370632476222439e-5,2.890590597429285e-5
2019-01-21T00:00:00Z,2019,1,21,7.226521901204068e-5,3.596250833603863e-5,2019W04,7.226521901204068e-5,3.596250833603863e-5
2019-01-22T00:00:00Z,2019,1,22,6.9978694253447e-5,2.6374626377119056e-5,2019W04,6.9978694253447e-5,2.6374626377119056e-5
2019-01-23T00:00:00Z,2019,1,23,5.92662209155925e-5,1.9583312309755607e-5,2019W04,5.92662209155925e-5,1.9583312309755607e-5
2019-01-24T00:00:00Z,2019,1,24,4.782991496123981e-5,2.3089863745984765e-5,2019W04,4.782991496123981e-5,2.3089863745984765e-5
2019-01-25T00:00:00Z,2019,1,25,NA,NA,2019W04,5.6508808554376334e-5,1.5341693517410733e-5
2019-01-26T00:00:00Z,2019,1,26,NA,NA,2019W04,7.142178686643578e-5,3.078447072474954e-6
2019-01-27T00:00:00Z,2019,1,27,6.690963995127865e-5,2.4114723169543525e-6,2019W04,6.690963995127866e-5,2.4114723169543474e-6
2019-01-28T00:00:00Z,2019,1,28,3.694069327610828e-5,1.4711530948947538e-5,2019W05,3.694069327610828e-5,1.4711530948947538e-5
2019-01-29T00:00:00Z,2019,1,29,4.023937569925498e-5,1.5210578399633685e-5,2019W05,4.023937569925498e-5,1.5210578399633683e-5
2019-01-30T00:00:00Z,2019,1,30,8.13455808547605e-5,3.96440978245079e-5,2019W05,8.13455808547605e-5,3.96440978245079e-5
2019-01-31T00:00:00Z,2019,1,31,9.527775154303584e-5,0,2019W05,9.527775154303584e-5,6.776263578034403e-21
